# INTERNAL_OJS _SUM alias -> r209 base element (issue 41, mined from 6 May-2008 packages 2008085-2008105)
# base_in_r209=1 means the r209 rule applies to the aliased element; 0 = DRIFT, needs its own decision
alias	base	base_in_r209	count	packages
ADMINISTRATIVE_INFORMATION_CONCESSION_SUM	ADMINISTRATIVE_INFORMATION_CONCESSION	1	16	6
ADMINISTRATIVE_INFORMATION_CONTRACT_NOTICE_SUM	ADMINISTRATIVE_INFORMATION_CONTRACT_NOTICE	1	2519	6
ADMINISTRATIVE_INFORMATION_CONTRACT_UTILITIES_SUM	ADMINISTRATIVE_INFORMATION_CONTRACT_UTILITIES	1	280	6
ADMINISTRATIVE_INFORMATION_DEF_SUM	ADMINISTRATIVE_INFORMATION_DEF	1	16	4
ADMINISTRATIVE_INFORMATION_DESIGN_CONTEST_NOTICE_SUM	ADMINISTRATIVE_INFORMATION_DESIGN_CONTEST_NOTICE	1	31	6
ADMINISTRATIVE_INFORMATION_QUALIFICATION_SYSTEM_SUM	ADMINISTRATIVE_INFORMATION_QUALIFICATION_SYSTEM	1	23	5
ADMINISTRATIVE_INFORMATION_SIMPLIFIED_CONTRACT_SUM	ADMINISTRATIVE_INFORMATION_SIMPLIFIED_CONTRACT	1	1	1
AI_PROCEDURE_PERIODIC_INDICATIVE_SUM	AI_PROCEDURE_PERIODIC_INDICATIVE	1	16	4
ANNEX_I_SUM	ANNEX_I	1	16	4
AUTHORITY_CONCESSION_SUM	AUTHORITY_CONCESSION	1	16	6
AUTHORITY_ENTITY_DESIGN_CONTEST_SUM	AUTHORITY_ENTITY_DESIGN_CONTEST	1	31	6
AUTHORITY_ENTITY_NOTICE_BUYER_PROFILE_SUM	AUTHORITY_ENTITY_NOTICE_BUYER_PROFILE	1	2	2
AUTHORITY_ENTITY_SIMPLIFIED_CONTRACT_NOTICE_SUM	AUTHORITY_ENTITY_SIMPLIFIED_CONTRACT_NOTICE	1	1	1
AUTHORITY_PERIODIC_INDICATIVE_SUM	AUTHORITY_PERIODIC_INDICATIVE	1	27	6
AUTHORITY_PRIOR_INFORMATION_SUM	AUTHORITY_PRIOR_INFORMATION	1	217	6
AWARD_AND_CONTRACT_VALUE_SUM	AWARD_AND_CONTRACT_VALUE	1	392	6
AWARD_CONTRACT_CONTRACT_AWARD_UTILITIES_SUM	AWARD_CONTRACT_CONTRACT_AWARD_UTILITIES	1	234	6
AWARD_OF_CONTRACT_SUM	AWARD_OF_CONTRACT	1	5384	6
AWARD_PRIZES_SUM	AWARD_PRIZES	1	53	6
BUYER_PROFILE_SUM	BUYER_PROFILE	1	2	2
CONCESSION_SUM	CONCESSION	1	16	6
CONDITIONS_FOR_MORE_INFORMATION_SUM	CONDITIONS_FOR_MORE_INFORMATION	1	229	6
CONTACTING_AUTHORITY_INFORMATION_SUM	CONTACTING_AUTHORITY_INFORMATION	1	1890	6
CONTACTING_AUTHORITY_INFO_SUM	CONTACTING_AUTHORITY_INFO	1	280	6
CONTRACTING_AUTHORITY_INFORMATION_SUM	CONTRACTING_AUTHORITY_INFORMATION	1	2519	6
CONTRACTING_ENTITY_CONTRACT_AWARD_UTILITIES_SUM	CONTRACTING_ENTITY_CONTRACT_AWARD_UTILITIES	1	234	6
CONTRACTING_ENTITY_QUALIFICATION_SYSTEM_SUM	CONTRACTING_ENTITY_QUALIFICATION_SYSTEM	1	23	5
CONTRACTING_ENTITY_RESULT_DESIGN_CONTEST_SUM	CONTRACTING_ENTITY_RESULT_DESIGN_CONTEST	1	23	6
CONTRACT_AWARD_SUM	CONTRACT_AWARD	1	1890	6
CONTRACT_AWARD_UTILITIES_SUM	CONTRACT_AWARD_UTILITIES	1	234	6
CONTRACT_OBJECT_DESCRIPTION_SUM	CONTRACT_OBJECT_DESCRIPTION	1	280	6
CONTRACT_SUM	CONTRACT	1	2519	6
CONTRACT_UTILITIES_SUM	CONTRACT_UTILITIES	1	280	6
DESCRIPTION_AWARD_NOTICE_INFORMATION_SUM	DESCRIPTION_AWARD_NOTICE_INFORMATION	1	1890	6
DESCRIPTION_CONCESSION_SUM	DESCRIPTION_CONCESSION	1	16	6
DESCRIPTION_CONTRACT_AWARD_UTILITIES_SUM	DESCRIPTION_CONTRACT_AWARD_UTILITIES	1	234	6
DESCRIPTION_CONTRACT_INFORMATION_SUM	DESCRIPTION_CONTRACT_INFORMATION	1	2519	6
DESIGN_CONTEST_SUM	DESIGN_CONTEST	1	31	6
FD_BUYER_PROFILE_SUM	FD_BUYER_PROFILE	1	2	2
FD_CONCESSION_SUM	FD_CONCESSION	1	16	6
FD_CONTRACT_AWARD_SUM	FD_CONTRACT_AWARD	1	1890	6
FD_CONTRACT_AWARD_UTILITIES_SUM	FD_CONTRACT_AWARD_UTILITIES	1	234	6
FD_CONTRACT_SUM	FD_CONTRACT	1	2519	6
FD_CONTRACT_UTILITIES_SUM	FD_CONTRACT_UTILITIES	1	280	6
FD_DESIGN_CONTEST_SUM	FD_DESIGN_CONTEST	1	31	6
FD_PERIODIC_INDICATIVE_UTILITIES_SUM	FD_PERIODIC_INDICATIVE_UTILITIES	1	27	6
FD_PRIOR_INFORMATION_SUM	FD_PRIOR_INFORMATION	1	217	6
FD_QUALIFICATION_SYSTEM_UTILITIES_SUM	FD_QUALIFICATION_SYSTEM_UTILITIES	1	23	5
FD_RESULT_DESIGN_CONTEST_SUM	FD_RESULT_DESIGN_CONTEST	1	23	6
FD_SIMPLIFIED_CONTRACT_SUM	FD_SIMPLIFIED_CONTRACT	1	1	1
INTRODUCTION_PERIODIC_INDICATIVE_SUM	INTRODUCTION_PERIODIC_INDICATIVE	1	27	6
OBJECT_CONCESSION_SUM	OBJECT_CONCESSION	1	16	6
OBJECT_CONTRACT_AWARD_UTILITIES_SUM	OBJECT_CONTRACT_AWARD_UTILITIES	1	234	6
OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_SUM	OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE	1	1890	6
OBJECT_CONTRACT_INFORMATION_CONTRACT_UTILITIES_SUM	OBJECT_CONTRACT_INFORMATION_CONTRACT_UTILITIES	1	280	6
OBJECT_CONTRACT_INFORMATION_SUM	OBJECT_CONTRACT_INFORMATION	1	2519	6
OBJECT_CONTRACT_PERIODIC_INDICATIVE_SUM	OBJECT_CONTRACT_PERIODIC_INDICATIVE	1	27	6
OBJECT_DESIGN_CONTEST_SUM	OBJECT_DESIGN_CONTEST	1	31	6
OBJECT_NOTICE_BUYER_PROFILE_SUM	OBJECT_NOTICE_BUYER_PROFILE	1	2	2
OBJECT_QUALIFICATION_SYSTEM_SUM	OBJECT_QUALIFICATION_SYSTEM	1	23	5
OBJECT_RESULT_DESIGN_CONTEST_SUM	OBJECT_RESULT_DESIGN_CONTEST	1	23	6
OBJECT_SIMPLIFIED_CONTRACT_NOTICE_SUM	OBJECT_SIMPLIFIED_CONTRACT_NOTICE	1	1	1
OBJECT_SUPPLY_SERVICE_PRIOR_INFORMATION_SUM	OBJECT_SUPPLY_SERVICE_PRIOR_INFORMATION	1	159	6
